No,Bulan ,Eksekutif,Bisnis,Ekonomi,Total,Tujuan
1,Januari,12176,964,17976,31116," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
2,Februari,13573,551,15026,29150," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
3,Maret ,21111,1144,27923,50178," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
