No,Bulan,Kereta Lokal,Asal
1,Januari,1127645,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
2,Februari,1030835,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
3,Maret ,1144405,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
4,April,1216890,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
5,Mei,1206345,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
6,Juni,1433616,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
7,Juli,1183663,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
8,Agustus,1061542,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
9,September,1105571,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
10,Oktober,1132439,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
11,November,1148112,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
12,Desember,1294170,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
