No,Bulan,Kereta Lokal,Asal
1,Januari,580046,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
2,Februari,523503,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
3,Maret ,650177,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
