No,Bulan,Rumah Makan (Rp),Restoran (Rp),Katering (Rp)
1,Januari,309161322,32737573264,381690436
2,Februari,272248517,28707004897,495649856
3,Maret,232815006,25552305723,557253912
4,April,135317076,10699438875,582305770
5,Mei,12367510,6078920351,174135606
6,Juni,22561301,9344137118,302171147
7,Juli,30309216,14250961836,583348281
8,Agustus,288418478,14319990989,313965971
9,September,173822066,15179245644,378344070
10,Oktober,105790406,13445977461,652281220
11,November,125330535,15469583873,1753514470
12,Desember,215282304,17451815777,1349917477
